FUNCTION_INDEX

component/api-output.py:18 | FunctionDef | _iso_now
component/output-txt.py:270 | FunctionDef | _doc_size_from_sources
component/output-txt.py:384 | FunctionDef | _get_pdf_reader_with_name
component/output-txt.py:396 | FunctionDef | _pdf_extract_text_preserve_layout
component/output-txt.py:408 | FunctionDef | _docx_xml_to_text
component/output-txt.py:412 | FunctionDef | _docx_xml_to_pages
component/output-txt.py:420 | FunctionDef | _flush_page_break
component/output-txt.py:450 | FunctionDef | _docx_app_page_count
component/output-txt.py:464 | FunctionDef | _pdf_page_count
component/output-txt.py:483 | FunctionDef | _pad_pages_text
component/output-txt.py:498 | FunctionDef | _pptx_slide_xml_to_text
component/output-txt.py:518 | FunctionDef | _xlsx_col_to_index
component/output-txt.py:526 | FunctionDef | _xlsx_shared_strings
component/output-txt.py:538 | FunctionDef | _xlsx_sheet_to_text
component/output-txt.py:588 | FunctionDef | _odf_content_to_text
component/output-txt.py:592 | FunctionDef | walk
component/output-txt.py:619 | FunctionDef | _html_bytes_to_text_preserve
component/output-txt.py:630 | FunctionDef | extract_text_native
component/pretraitement-de-docs.py:15 | FunctionDef | resolve_runtime_input_path
component/pretraitement-de-docs.py:43 | ClassDef | FileType
component/pretraitement-de-docs.py:51 | FunctionDef | normalize_input_files
component/pretraitement-de-docs.py:66 | FunctionDef | resolve_path
component/pretraitement-de-docs.py:86 | FunctionDef | _safe_file_size
component/pretraitement-de-docs.py:95 | FunctionDef | _read_head
component/pretraitement-de-docs.py:101 | FunctionDef | detect_path_type
component/pretraitement-de-docs.py:172 | FunctionDef | _xml_text_len
component/pretraitement-de-docs.py:186 | FunctionDef | _zip_has_text
component/pretraitement-de-docs.py:257 | FunctionDef | _get_pdf_reader
component/pretraitement-de-docs.py:270 | FunctionDef | _pdf_has_text
component/pretraitement-de-docs.py:334 | FunctionDef | content_kind_two_states
component/pretraitement-de-docs.py:363 | FunctionDef | analyze_many_two_states
component/si-image-pretraiter-sinonpass-le-doc.py:24 | FunctionDef | resolve_runtime_input_path
component/si-image-pretraiter-sinonpass-le-doc.py:27 | FunctionDef | parse_git_lfs_pointer_path
component/si-image-pretraiter-sinonpass-le-doc.py:58 | ClassDef | FileType
component/si-image-pretraiter-sinonpass-le-doc.py:64 | FunctionDef | _read_head
component/si-image-pretraiter-sinonpass-le-doc.py:70 | FunctionDef | normalize_input_files
component/si-image-pretraiter-sinonpass-le-doc.py:84 | FunctionDef | resolve_path
component/si-image-pretraiter-sinonpass-le-doc.py:98 | FunctionDef | detect_path_type
component/si-image-pretraiter-sinonpass-le-doc.py:161 | FunctionDef | _xml_text_len
component/si-image-pretraiter-sinonpass-le-doc.py:174 | FunctionDef | _zip_has_text
component/si-image-pretraiter-sinonpass-le-doc.py:237 | FunctionDef | _get_pdf_reader
component/si-image-pretraiter-sinonpass-le-doc.py:249 | FunctionDef | _pdf_has_text
component/si-image-pretraiter-sinonpass-le-doc.py:279 | FunctionDef | content_kind_two_states
component/si-image-pretraiter-sinonpass-le-doc.py:352 | ClassDef | EnhanceOptions
component/si-image-pretraiter-sinonpass-le-doc.py:370 | FunctionDef | build_config
component/si-image-pretraiter-sinonpass-le-doc.py:396 | FunctionDef | ensure_environment
component/si-image-pretraiter-sinonpass-le-doc.py:416 | FunctionDef | auto_rotate_if_needed
component/si-image-pretraiter-sinonpass-le-doc.py:436 | FunctionDef | preprocess_image
component/si-image-pretraiter-sinonpass-le-doc.py:517 | FunctionDef | parse_args
component/si-image-pretraiter-sinonpass-le-doc.py:590 | FunctionDef | _normalize_input_files
component/si-image-pretraiter-sinonpass-le-doc.py:622 | FunctionDef | _load_images_from_path
component/table_extraction/table-extraction.py:14 | FunctionDef | _resolve_profile
component/table_extraction/table_extraction_lib.py:12 | FunctionDef | resolve_runtime_input_path
component/table_extraction/table_extraction_lib.py:246 | FunctionDef | _safe_list
component/table_extraction/table_extraction_lib.py:250 | FunctionDef | _doc_key
component/table_extraction/table_extraction_lib.py:260 | FunctionDef | _doc_text_score
component/table_extraction/table_extraction_lib.py:270 | FunctionDef | _dedupe_docs
component/table_extraction/table_extraction_lib.py:286 | FunctionDef | _norm_text
component/table_extraction/table_extraction_lib.py:296 | FunctionDef | _compact_spaces
component/table_extraction/table_extraction_lib.py:302 | FunctionDef | _line_token_spans
component/table_extraction/table_extraction_lib.py:313 | FunctionDef | _line_segment_spans
component/table_extraction/table_extraction_lib.py:343 | FunctionDef | _line_geometry
component/table_extraction/table_extraction_lib.py:394 | FunctionDef | _alignment_with_neighbor
component/table_extraction/table_extraction_lib.py:406 | FunctionDef | _line_tabularity_score
component/table_extraction/table_extraction_lib.py:426 | FunctionDef | _anchors_from_header_geom
component/table_extraction/table_extraction_lib.py:444 | FunctionDef | _anchor_matches
component/table_extraction/table_extraction_lib.py:457 | FunctionDef | _cells_from_anchors
component/table_extraction/table_extraction_lib.py:478 | FunctionDef | _collect_blocks_anchor
component/table_extraction/table_extraction_lib.py:580 | FunctionDef | _merge_blocks
component/table_extraction/table_extraction_lib.py:598 | FunctionDef | _split_line_cells
component/table_extraction/table_extraction_lib.py:626 | FunctionDef | _is_probable_code
component/table_extraction/table_extraction_lib.py:637 | FunctionDef | _normalize_reference_code
component/table_extraction/table_extraction_lib.py:651 | FunctionDef | _extract_reference_code
component/table_extraction/table_extraction_lib.py:667 | FunctionDef | _clean_ocr_label
component/table_extraction/table_extraction_lib.py:676 | FunctionDef | _guess_product_number_from_reference
component/table_extraction/table_extraction_lib.py:690 | FunctionDef | _token_is_numeric_tail
component/table_extraction/table_extraction_lib.py:705 | FunctionDef | _merge_numeric_tokens
component/table_extraction/table_extraction_lib.py:727 | FunctionDef | _split_dense_numeric_tail
component/table_extraction/table_extraction_lib.py:751 | FunctionDef | _split_dense_header_cells
component/table_extraction/table_extraction_lib.py:780 | FunctionDef | _is_numeric_like
component/table_extraction/table_extraction_lib.py:795 | FunctionDef | _to_amount
component/table_extraction/table_extraction_lib.py:836 | FunctionDef | _normalize_number_token
component/table_extraction/table_extraction_lib.py:878 | FunctionDef | _to_quantity
component/table_extraction/table_extraction_lib.py:903 | FunctionDef | _header_score
component/table_extraction/table_extraction_lib.py:930 | FunctionDef | _detect_header_map
component/table_extraction/table_extraction_lib.py:954 | FunctionDef | _count_norm_hits
component/table_extraction/table_extraction_lib.py:958 | FunctionDef | _line_header_hint_score
component/table_extraction/table_extraction_lib.py:965 | FunctionDef | _line_footer_hint_score
component/table_extraction/table_extraction_lib.py:970 | FunctionDef | _is_totals_or_footer_label
component/table_extraction/table_extraction_lib.py:981 | FunctionDef | _is_footer_like_line
component/table_extraction/table_extraction_lib.py:999 | FunctionDef | _is_header_like_line
component/table_extraction/table_extraction_lib.py:1011 | FunctionDef | _line_looks_tabular
component/table_extraction/table_extraction_lib.py:1043 | FunctionDef | _is_strong_single_row
component/table_extraction/table_extraction_lib.py:1056 | FunctionDef | _collect_blocks
component/table_extraction/table_extraction_lib.py:1095 | FunctionDef | _infer_map_from_rows
component/table_extraction/table_extraction_lib.py:1192 | FunctionDef | _extract_totals_from_line
component/table_extraction/table_extraction_lib.py:1225 | FunctionDef | _row_to_item
component/table_extraction/table_extraction_lib.py:1233 | FunctionDef | get
component/table_extraction/table_extraction_lib.py:1347 | FunctionDef | _is_complete_line_item
component/table_extraction/table_extraction_lib.py:1362 | FunctionDef | _filter_complete_line_items
component/table_extraction/table_extraction_lib.py:1418 | FunctionDef | _extract_doc_tables
component/table_extraction/table_extraction_lib.py:1599 | FunctionDef | _augment_code_only_rows_from_header
component/table_extraction/table_extraction_lib.py:1693 | FunctionDef | _augment_text_line_items_from_header
component/table_extraction/table_extraction_lib.py:1861 | FunctionDef | _build_source_path_map
component/table_extraction/table_extraction_lib.py:1865 | FunctionDef | _add
component/table_extraction/table_extraction_lib.py:1887 | FunctionDef | _should_run_ocr_fallback
component/table_extraction/table_extraction_lib.py:1919 | FunctionDef | _parse_ocr_row_line
component/table_extraction/table_extraction_lib.py:2004 | FunctionDef | _parse_ocr_table_rows
component/table_extraction/table_extraction_lib.py:2061 | FunctionDef | _guess_total_field_key
component/table_extraction/table_extraction_lib.py:2069 | FunctionDef | _parse_ocr_totals_rows
component/table_extraction/table_extraction_lib.py:2125 | FunctionDef | _ocr_fallback_tables_from_image
component/table_extraction/table_extraction_lib.py:2142 | FunctionDef | _build_variants
component/table_extraction/table_extraction_lib.py:2211 | FunctionDef | _merge_ocr_fallback_rows
component/table_extraction/table_extraction_lib.py:2224 | FunctionDef | _sig
component/table_extraction/table_extraction_lib.py:2316 | FunctionDef | _merge_ocr_totals_rows
component/table_extraction/table_extraction_lib.py:2351 | FunctionDef | _extract_code_keys_from_text
component/table_extraction/table_extraction_lib.py:2364 | FunctionDef | _table_metrics
component/table_extraction/table_extraction_lib.py:2386 | FunctionDef | _infer_detected_columns_from_rows
component/table_extraction/table_extraction_lib.py:2404 | FunctionDef | _prune_redundant_tables
component/table_extraction/table_extraction_lib.py:2482 | FunctionDef | run_table_extraction
component/tokenisation_layout/tokenisation-layout-100ml.py:35 | FunctionDef | _safe_int
component/tokenisation_layout/tokenisation-layout-100ml.py:42 | FunctionDef | _norm_token
component/tokenisation_layout/tokenisation-layout-100ml.py:46 | FunctionDef | _tokenize
component/tokenisation_layout/tokenisation-layout-100ml.py:50 | FunctionDef | _norm_topic_term
component/tokenisation_layout/tokenisation-layout-100ml.py:60 | FunctionDef | _is_topic_candidate
component/tokenisation_layout/tokenisation-layout-100ml.py:81 | FunctionDef | _tokens_to_topic_terms
component/tokenisation_layout/tokenisation-layout-100ml.py:97 | FunctionDef | _score_term_quality
component/tokenisation_layout/tokenisation-layout-100ml.py:108 | FunctionDef | _prune_topic_redundancy
component/tokenisation_layout/tokenisation-layout-100ml.py:129 | FunctionDef | _extract_terms_from_keyword_item
component/tokenisation_layout/tokenisation-layout-100ml.py:141 | FunctionDef | _build_topic_boost_terms
component/tokenisation_layout/tokenisation-layout-100ml.py:163 | FunctionDef | _apply
component/tokenisation_layout/tokenisation-layout-100ml.py:188 | FunctionDef | _hash_index_sign
component/tokenisation_layout/tokenisation-layout-100ml.py:195 | FunctionDef | _vector_norm
component/tokenisation_layout/tokenisation-layout-100ml.py:199 | FunctionDef | _hash_text_vector
component/tokenisation_layout/tokenisation-layout-100ml.py:215 | FunctionDef | _mean_vectors
component/tokenisation_layout/tokenisation-layout-100ml.py:230 | FunctionDef | _to_list
component/tokenisation_layout/tokenisation-layout-100ml.py:234 | FunctionDef | _iter_doc_chunks
component/tokenisation_layout/tokenisation-layout-100ml.py:255 | FunctionDef | _extract_topics_from_chunks
component/tokenisation_layout/tokenisation-layout-100ml.py:290 | FunctionDef | _extract_chunk_topics
component/tokenisation_layout/tokenisation-layout-100ml.py:319 | FunctionDef | _doc_key
component/tokenisation_layout/tokenisation-layout-100ml.py:327 | ClassDef | _TransformerEmbedder
component/tokenisation_layout/tokenisation-layout-100ml.py:328 | FunctionDef | __init__
component/tokenisation_layout/tokenisation-layout-100ml.py:361 | FunctionDef | embed_texts
component/tokenisation_layout/tokenisation-layout-100ml.py:413 | FunctionDef | _run_base_tokenisation
component/tokenisation_layout/tokenisation-layout-100ml.py:419 | FunctionDef | _augment_with_ml100
component/tokenisation_layout/tokenisation-layout-50ml.py:35 | FunctionDef | _safe_int
component/tokenisation_layout/tokenisation-layout-50ml.py:42 | FunctionDef | _norm_token
component/tokenisation_layout/tokenisation-layout-50ml.py:46 | FunctionDef | _tokenize
component/tokenisation_layout/tokenisation-layout-50ml.py:50 | FunctionDef | _norm_topic_term
component/tokenisation_layout/tokenisation-layout-50ml.py:61 | FunctionDef | _is_topic_candidate
component/tokenisation_layout/tokenisation-layout-50ml.py:82 | FunctionDef | _tokens_to_topic_terms
component/tokenisation_layout/tokenisation-layout-50ml.py:100 | FunctionDef | _score_term_quality
component/tokenisation_layout/tokenisation-layout-50ml.py:112 | FunctionDef | _prune_topic_redundancy
component/tokenisation_layout/tokenisation-layout-50ml.py:134 | FunctionDef | _extract_terms_from_keyword_item
component/tokenisation_layout/tokenisation-layout-50ml.py:147 | FunctionDef | _build_topic_boost_terms
component/tokenisation_layout/tokenisation-layout-50ml.py:170 | FunctionDef | _apply
component/tokenisation_layout/tokenisation-layout-50ml.py:195 | FunctionDef | _char_ngrams
component/tokenisation_layout/tokenisation-layout-50ml.py:211 | FunctionDef | _hash_index_sign
component/tokenisation_layout/tokenisation-layout-50ml.py:218 | FunctionDef | _vector_norm
component/tokenisation_layout/tokenisation-layout-50ml.py:222 | FunctionDef | _fasttext_like_vector
component/tokenisation_layout/tokenisation-layout-50ml.py:234 | FunctionDef | _mean_vectors
component/tokenisation_layout/tokenisation-layout-50ml.py:249 | FunctionDef | _to_list
component/tokenisation_layout/tokenisation-layout-50ml.py:253 | FunctionDef | _iter_doc_chunks
component/tokenisation_layout/tokenisation-layout-50ml.py:274 | FunctionDef | _extract_topics_from_chunks
component/tokenisation_layout/tokenisation-layout-50ml.py:309 | FunctionDef | _extract_chunk_topics
component/tokenisation_layout/tokenisation-layout-50ml.py:338 | FunctionDef | _doc_key
component/tokenisation_layout/tokenisation-layout-50ml.py:346 | FunctionDef | _run_base_tokenisation
component/tokenisation_layout/tokenisation-layout-50ml.py:352 | FunctionDef | _augment_with_ml50
component/tokenisation_layout/tokenisation-layout.py:16 | FunctionDef | _get_pdf_reader
component/tokenisation_layout/tokenisation-layout.py:43 | FunctionDef | _ensure_nltk
component/tokenisation_layout/tokenisation-layout.py:65 | FunctionDef | detect_lang
component/tokenisation_layout/tokenisation-layout.py:94 | FunctionDef | split_ar_layout
component/tokenisation_layout/tokenisation-layout.py:107 | FunctionDef | _load_punkt_pickle
component/tokenisation_layout/tokenisation-layout.py:114 | FunctionDef | _split_sentence_fallback
component/tokenisation_layout/tokenisation-layout.py:127 | FunctionDef | split_punkt_layout
component/tokenisation_layout/tokenisation-layout.py:143 | FunctionDef | _split_on_newline_gap
component/tokenisation_layout/tokenisation-layout.py:162 | FunctionDef | _split_on_lang_switch
component/tokenisation_layout/tokenisation-layout.py:190 | FunctionDef | sentence_chunks_layout
component/tokenisation_layout/tokenisation-layout.py:210 | FunctionDef | _iter_line_spans
component/tokenisation_layout/tokenisation-layout.py:221 | FunctionDef | _collapse_ws
component/tokenisation_layout/tokenisation-layout.py:224 | FunctionDef | _mask_digits
component/tokenisation_layout/tokenisation-layout.py:251 | FunctionDef | _is_section_start_line
component/tokenisation_layout/tokenisation-layout.py:274 | FunctionDef | _merge_label_only
component/tokenisation_layout/tokenisation-layout.py:286 | FunctionDef | split_sections_layout
component/tokenisation_layout/tokenisation-layout.py:320 | FunctionDef | split_paragraphs_layout
component/tokenisation_layout/tokenisation-layout.py:335 | FunctionDef | chunk_layout_universal
component/tokenisation_layout/tokenisation-layout.py:405 | FunctionDef | _space_runs_ge
component/tokenisation_layout/tokenisation-layout.py:408 | FunctionDef | _has_big_gap
component/tokenisation_layout/tokenisation-layout.py:411 | FunctionDef | _num_tokens
component/tokenisation_layout/tokenisation-layout.py:414 | FunctionDef | _dec_tokens
component/tokenisation_layout/tokenisation-layout.py:417 | FunctionDef | _is_table_line
component/tokenisation_layout/tokenisation-layout.py:432 | FunctionDef | _cluster_centers
component/tokenisation_layout/tokenisation-layout.py:453 | FunctionDef | _upper_ratio
component/tokenisation_layout/tokenisation-layout.py:460 | FunctionDef | _sep_spans
component/tokenisation_layout/tokenisation-layout.py:479 | FunctionDef | _line_segments_by_gaps
component/tokenisation_layout/tokenisation-layout.py:500 | FunctionDef | _looks_like_title_line
component/tokenisation_layout/tokenisation-layout.py:512 | FunctionDef | _is_multicol_candidate_line
component/tokenisation_layout/tokenisation-layout.py:538 | FunctionDef | _looks_like_header_pair
component/tokenisation_layout/tokenisation-layout.py:548 | FunctionDef | _looks_like_addressish
component/tokenisation_layout/tokenisation-layout.py:558 | FunctionDef | _normalize_kv_generic
component/tokenisation_layout/tokenisation-layout.py:586 | FunctionDef | _strip_sep_lines
component/tokenisation_layout/tokenisation-layout.py:597 | FunctionDef | _assign_to_centers
component/tokenisation_layout/tokenisation-layout.py:609 | FunctionDef | _merge_close_columns
component/tokenisation_layout/tokenisation-layout.py:642 | FunctionDef | _is_grid_like
component/tokenisation_layout/tokenisation-layout.py:654 | FunctionDef | _is_micro_table_like
component/tokenisation_layout/tokenisation-layout.py:668 | FunctionDef | _transpose_or_group_multicol
component/tokenisation_layout/tokenisation-layout.py:845 | FunctionDef | _looks_like_paragraphish
component/tokenisation_layout/tokenisation-layout.py:855 | FunctionDef | _is_address_continuation_line
component/tokenisation_layout/tokenisation-layout.py:880 | FunctionDef | _collect_table_block
component/tokenisation_layout/tokenisation-layout.py:887 | FunctionDef | _looks_like_wrap_line
component/tokenisation_layout/tokenisation-layout.py:948 | FunctionDef | _make_span_item
component/tokenisation_layout/tokenisation-layout.py:961 | FunctionDef | layout_items
component/tokenisation_layout/tokenisation-layout.py:976 | FunctionDef | _starts_table
component/tokenisation_layout/tokenisation-layout.py:979 | FunctionDef | _starts_multicol
component/tokenisation_layout/tokenisation-layout.py:1084 | FunctionDef | _k
component/tokenisation_layout/tokenisation-layout.py:1100 | FunctionDef | build_noise_keys_for_doc
component/tokenisation_layout/tokenisation-layout.py:1143 | FunctionDef | chunk_is_noise
component/tokenisation_layout/tokenisation-layout.py:1172 | FunctionDef | _nonspace_len
component/tokenisation_layout/tokenisation-layout.py:1175 | FunctionDef | _line_col_from_offset
component/tokenisation_layout/tokenisation-layout.py:1186 | FunctionDef | _safe_str
component/tokenisation_layout/tokenisation-layout.py:1192 | FunctionDef | _unique_keep_order
component/tokenisation_layout/tokenisation-layout.py:1201 | FunctionDef | _pdf_extract_pages_text
component/tokenisation_layout/tokenisation-layout.py:1214 | FunctionDef | _pdf_page_count
component/tokenisation_layout/tokenisation-layout.py:1224 | FunctionDef | _safe_file_size
component/tokenisation_layout/tokenisation-layout.py:1233 | FunctionDef | _doc_size_from_paths
component/tokenisation_layout/tokenisation-layout.py:1468 | FunctionDef | _sort_key
component/tokenisation_layout/tokenisation-layout.py:1479 | FunctionDef | _select_doc
component/tokenisation_layout/tokenisation-layout.py:1506 | FunctionDef | print_one_doc
component/verification-totaux.py:13 | FunctionDef | _safe_list
component/verification-totaux.py:17 | FunctionDef | _safe_int
component/verification-totaux.py:24 | FunctionDef | _safe_float
component/verification-totaux.py:31 | FunctionDef | _to_decimal
component/verification-totaux.py:62 | FunctionDef | _money_str
component/verification-totaux.py:68 | FunctionDef | _is_close
component/verification-totaux.py:74 | FunctionDef | _norm_match_text
component/verification-totaux.py:82 | FunctionDef | _doc_aliases
component/verification-totaux.py:100 | FunctionDef | _build_chunk_lookup
component/verification-totaux.py:140 | FunctionDef | _value_position_in_text
component/verification-totaux.py:149 | FunctionDef | _locate_chunk
component/verification-totaux.py:214 | FunctionDef | _dominant_table_index
component/verification-totaux.py:226 | FunctionDef | _table_anchor_location
component/verification-totaux.py:254 | FunctionDef | _row_total_candidate
component/verification-totaux.py:262 | FunctionDef | _row_label
component/verification-totaux.py:270 | FunctionDef | _candidate_values
component/verification-totaux.py:285 | FunctionDef | _pick_nearest
component/verification-totaux.py:291 | FunctionDef | _pick_total_candidate
component/verification-totaux.py:309 | FunctionDef | _pick_subtotal_candidate
component/verification-totaux.py:316 | FunctionDef | _pick_tax_candidate
component/verification-totaux.py:329 | FunctionDef | _verify_row
component/verification-totaux.py:408 | FunctionDef | _doc_key
component/verification-totaux.py:418 | FunctionDef | _locate_total_value
component/verification-totaux.py:446 | FunctionDef | _verify_doc
component/verification-totaux.py:683 | FunctionDef | run
pipeline/cli.py:39 | FunctionDef | _step_choices
pipeline/cli.py:56 | FunctionDef | _env_bool
pipeline/cli.py:63 | FunctionDef | _env_int
pipeline/cli.py:73 | FunctionDef | _env_optional
pipeline/cli.py:81 | FunctionDef | _normalize_pipeline_name
pipeline/cli.py:85 | FunctionDef | _env_pipeline
pipeline/cli.py:93 | FunctionDef | _normalize_step_name
pipeline/cli.py:102 | FunctionDef | parse_cli
pipeline/cli.py:180 | FunctionDef | main
pipeline/cli.py:211 | FunctionDef | tee_print
pipeline/component_trace.py:9 | FunctionDef | _iso_now
pipeline/component_trace.py:13 | FunctionDef | sanitize_component_key
pipeline/component_trace.py:20 | FunctionDef | _safe_int
pipeline/component_trace.py:27 | FunctionDef | _json_safe
pipeline/component_trace.py:39 | FunctionDef | _fingerprint
pipeline/component_trace.py:59 | FunctionDef | capture_context_fingerprints
pipeline/component_trace.py:68 | FunctionDef | _ensure_component_traces
pipeline/component_trace.py:76 | FunctionDef | _pipeline_step_index
pipeline/component_trace.py:86 | FunctionDef | start_component_trace
pipeline/component_trace.py:108 | FunctionDef | finish_component_trace
pipeline/component_trace.py:133 | FunctionDef | report_component_trace
pipeline/component_trace.py:152 | FunctionDef | component_trace_public_rows
pipeline/components.py:39 | FunctionDef | _doc_has_meaningful_text
pipeline/components.py:66 | FunctionDef | _drop_empty_duplicate_docs
pipeline/components.py:91 | ClassDef | Component
pipeline/components.py:97 | FunctionDef | run
pipeline/components.py:119 | FunctionDef | _execute_script
pipeline/components.py:162 | FunctionDef | _report
pipeline/components.py:172 | ClassDef | PretraitementComponent
pipeline/components.py:173 | FunctionDef | run
pipeline/components.py:225 | ClassDef | OCRPreprocessComponent
pipeline/components.py:226 | FunctionDef | run
pipeline/components.py:279 | ClassDef | OutputTxtComponent
pipeline/components.py:280 | FunctionDef | run
pipeline/components.py:290 | FunctionDef | _doc_pages_count
pipeline/components.py:301 | ClassDef | TokenisationLayoutComponent
pipeline/components.py:302 | FunctionDef | run
pipeline/components.py:328 | ClassDef | GrammarComponent
pipeline/components.py:329 | FunctionDef | run
pipeline/components.py:370 | ClassDef | TableExtractionComponent
pipeline/components.py:371 | FunctionDef | run
pipeline/components.py:393 | ClassDef | TotalsVerificationComponent
pipeline/components.py:394 | FunctionDef | run
pipeline/components.py:413 | ClassDef | VisualMarksDetectionComponent
pipeline/components.py:414 | FunctionDef | run
pipeline/components.py:445 | ClassDef | InterDocLinkingComponent
pipeline/components.py:446 | FunctionDef | run
pipeline/components.py:477 | ClassDef | ElasticsearchComponent
pipeline/components.py:478 | FunctionDef | run
pipeline/components.py:518 | ClassDef | ClassificationComponent
pipeline/components.py:519 | FunctionDef | run
pipeline/components.py:565 | ClassDef | RuleExtractionComponent
pipeline/components.py:566 | FunctionDef | run
pipeline/components.py:615 | ClassDef | FusionResultComponent
pipeline/components.py:618 | FunctionDef | run
pipeline/components.py:661 | ClassDef | APIOutputComponent
pipeline/components.py:664 | FunctionDef | run
pipeline/elasticsearch.py:33 | FunctionDef | _iso_now
pipeline/elasticsearch.py:37 | FunctionDef | _unique_keep_order
pipeline/elasticsearch.py:48 | FunctionDef | _safe_int
pipeline/elasticsearch.py:55 | FunctionDef | _safe_positive_int
pipeline/elasticsearch.py:65 | FunctionDef | _is_local_es_url
pipeline/elasticsearch.py:70 | FunctionDef | _normalize_command
pipeline/elasticsearch.py:83 | FunctionDef | _format_command
pipeline/elasticsearch.py:87 | FunctionDef | _resolve_auto_start_commands
pipeline/elasticsearch.py:90 | FunctionDef | _append_many
pipeline/elasticsearch.py:120 | FunctionDef | _append_one
pipeline/elasticsearch.py:160 | FunctionDef | _run_auto_start_command
pipeline/elasticsearch.py:195 | FunctionDef | _wait_for_es_ping
pipeline/elasticsearch.py:204 | FunctionDef | _try_auto_start_elasticsearch
pipeline/elasticsearch.py:274 | FunctionDef | _same_es_target
pipeline/elasticsearch.py:280 | FunctionDef | _split_words
pipeline/elasticsearch.py:285 | FunctionDef | _json_serialize
pipeline/elasticsearch.py:292 | FunctionDef | _normalize_nlp_level
pipeline/elasticsearch.py:303 | FunctionDef | _normalize_nlp_index
pipeline/elasticsearch.py:311 | FunctionDef | _to_clean_str
pipeline/elasticsearch.py:316 | FunctionDef | _top_counter_items
pipeline/elasticsearch.py:320 | FunctionDef | _extract_entities
pipeline/elasticsearch.py:354 | FunctionDef | _entities_sample_flat
pipeline/elasticsearch.py:366 | FunctionDef | build_es_doc_id
pipeline/elasticsearch.py:379 | FunctionDef | _file_size_from_paths
pipeline/elasticsearch.py:405 | FunctionDef | _extract_doc_size
pipeline/elasticsearch.py:417 | FunctionDef | _page_text_from_page
pipeline/elasticsearch.py:439 | FunctionDef | flatten_tok_doc_for_index
pipeline/elasticsearch.py:525 | ClassDef | ElasticsearchStore
pipeline/elasticsearch.py:526 | FunctionDef | __init__
pipeline/elasticsearch.py:542 | FunctionDef | _request
pipeline/elasticsearch.py:588 | FunctionDef | ping
pipeline/elasticsearch.py:595 | FunctionDef | ensure_index
pipeline/elasticsearch.py:678 | FunctionDef | ensure_custom_index
pipeline/elasticsearch.py:690 | FunctionDef | delete_by_query
pipeline/elasticsearch.py:700 | FunctionDef | bulk_ndjson
pipeline/elasticsearch.py:712 | FunctionDef | upsert_document
pipeline/elasticsearch.py:719 | FunctionDef | update_fields
pipeline/elasticsearch.py:722 | FunctionDef | get_document
pipeline/elasticsearch.py:730 | FunctionDef | mget
pipeline/elasticsearch.py:744 | FunctionDef | search
pipeline/elasticsearch.py:755 | FunctionDef | find_document_id
pipeline/elasticsearch.py:774 | FunctionDef | index_tok_docs
pipeline/elasticsearch.py:791 | FunctionDef | _group_passages_by_page
pipeline/elasticsearch.py:804 | FunctionDef | to_classification_docs
pipeline/elasticsearch.py:847 | FunctionDef | to_extraction_docs
pipeline/elasticsearch.py:890 | FunctionDef | fetch_sources_for_ids
pipeline/elasticsearch.py:897 | FunctionDef | update_classification_results
pipeline/elasticsearch.py:924 | FunctionDef | update_extraction_results
pipeline/elasticsearch.py:970 | FunctionDef | _build_nlp_doc_lookup
pipeline/elasticsearch.py:990 | FunctionDef | _resolve_nlp_doc_id
pipeline/elasticsearch.py:1015 | FunctionDef | _ensure_nlp_tokens_index
pipeline/elasticsearch.py:1038 | FunctionDef | _build_nlp_token_doc_id
pipeline/elasticsearch.py:1049 | FunctionDef | _bulk_index_nlp_tokens
pipeline/elasticsearch.py:1079 | FunctionDef | sync_nlp_results
pipeline/elasticsearch.py:1254 | FunctionDef | maybe_build_store
pipeline/file_resolution.py:27 | FunctionDef | _sha256_path
pipeline/file_resolution.py:35 | FunctionDef | parse_git_lfs_pointer_bytes
pipeline/file_resolution.py:55 | FunctionDef | parse_git_lfs_pointer_path
pipeline/file_resolution.py:63 | FunctionDef | _iter_named_candidates
pipeline/file_resolution.py:79 | FunctionDef | resolve_git_lfs_pointer_path
pipeline/file_resolution.py:91 | FunctionDef | _resolve_pointer_spec
pipeline/file_resolution.py:122 | FunctionDef | resolve_runtime_input_path
pipeline/file_resolution.py:129 | FunctionDef | materialize_uploaded_content_from_lfs_pointer
pipeline/local_api.py:53 | FunctionDef | _active_pipeline_profile
pipeline/local_api.py:58 | FunctionDef | _active_pipeline_source
pipeline/local_api.py:66 | FunctionDef | _active_pipeline_steps
pipeline/local_api.py:71 | FunctionDef | _active_pipeline_metadata
pipeline/local_api.py:107 | FunctionDef | _iso_now
pipeline/local_api.py:111 | FunctionDef | _json_bytes
pipeline/local_api.py:115 | FunctionDef | _tail_recent_lines
pipeline/local_api.py:131 | FunctionDef | _metadata_from_snapshot
pipeline/local_api.py:144 | FunctionDef | _current_runtime_progress
pipeline/local_api.py:243 | FunctionDef | _discover_ipv4_addresses
pipeline/local_api.py:262 | FunctionDef | _candidate_urls
pipeline/local_api.py:277 | FunctionDef | _sanitize_filename
pipeline/local_api.py:284 | FunctionDef | _extract_uploaded_payload
pipeline/local_api.py:362 | FunctionDef | _sha256_bytes
pipeline/local_api.py:368 | FunctionDef | _request_origin
pipeline/local_api.py:374 | FunctionDef | _first_text_field
pipeline/local_api.py:384 | FunctionDef | _public_api_base_url
